X,Y,OBJECTID,stop_name,Rider_On,Rider_Off,Rider_Tota,Stop_Rider,Routes_Ser,Distributi,Mode,Shelter,County,stop_id,GlobalID
-76.6603930002494,39.350945000206,1,CYLBURN AVE & GREENSPRING AVE fs wb,201,167,368,250,"94,31,31,91",E1 - Public Domain - Internal Use Only,Bus,Yes,Baltimore City,1,20b3ec17-601a-4834-a32b-993424f1231e
-76.6633590001624,39.3515449997642,2,LANIER AVE & SINAI HOSPITAL sb,38,24,62,1727,"94,31,91",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,3,05c990ed-fbdd-41eb-8df9-b4a4f5e671cf
-76.6644920003145,39.3527489997655,3,LANIER AVE & BELVEDERE AVE nb,147,45,192,594,"94,31,91",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,4,98de9c15-0e48-4797-996a-caf230692f23
-76.6582330002504,39.3467559997527,4,YELLOWOOD AVE & FLAX TERR OPP sb,51,61,113,1068,"91,91",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,8,f7acd924-0b9d-43c3-bb5e-f0c781acd628
-76.6547969999843,39.3482620003024,5,TAMARIND RD & SPRINGARDEN DR nb,19,23,43,2161,"91,91",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,10,847659c3-f253-4971-ade4-97427440f708
-76.6593630000295,39.3488870003409,6,GREENSPRING AVE & OAKLEY AVE fs sb,8,10,19,3049,91,E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,11,8ef0bfe9-b609-4b36-b1c4-946f3a54879b
-76.6596450000618,39.3461499999894,7,GREENSPRING AVE & WOODLAND AVE fs sb,48,14,61,1740,91,E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,12,8fb29116-1791-4cc7-8c4c-7868d693b4e3
-76.659010999677,39.3444540000974,8,GREENSPRING AVE & DUPONT AVE sb,61,30,91,1279,91,E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,15,9013834d-2707-4ede-a81b-a9c3ff0633be
-76.6582240000296,39.3404399998988,9,GREENSPRING AVE & COLD SPRING LN fs sb,6,2,9,3612,"91,38",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,16,d5b7c9b3-45e3-4cca-b76a-4e2c3e3be297
-76.6577870001866,39.3389929997965,10,GREENSPRING AVE & LOYOLA SOUTHWAY sb,5,3,8,3646,38,E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,17,6d3c9671-76c6-4145-bc58-9c743e87f3f6
-76.656678000324,39.3378730002919,11,GREENSPRING AVE & OSWEGO AVE sb,16,11,27,2653,"91,38",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,18,5a16b2fb-4a44-4285-bfe7-5d82f4d2d4f2
-76.6563889997207,39.3362479998325,12,GREENSPRING AVE & SHIRLEY AVE fs sb,19,9,28,2626,"91,38",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,19,cd23fd0b-88b4-47c1-9470-1aa44bd3f2f3
-76.6542410003156,39.3305590000747,13,GREENSPRING AVE & DRUID PARK DR sb,4,5,9,3580,"91,38",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,21,629094d9-8bab-4c8d-8ff9-c67237627db5
-76.6558859997554,39.3288889996878,14,DRUID PARK DR & HILLDALE PL wb,10,7,17,3115,"91,22,38",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,22,9a96fc0f-6b21-4ee1-87a6-8d940f7bc72f
-76.6575269998956,39.3249810001806,15,REISTERSTOWN RD & DRUID PARK DR fs sb,139,127,266,390,"91,83,85",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,23,f678ca6e-12d4-4d93-8db0-a9ea4d7b3ac7
-76.6558010002649,39.3226819999185,16,REISTERSTOWN RD & WICHITA AVE sb,8,17,26,2718,"91,83,85",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,24,5595a832-744e-43ed-bf30-362b34d32389
-76.6547240001893,39.3212510002454,17,REISTERSTOWN RD & OCALA AVE mb sb,19,18,37,2328,"91,83,85",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,25,54934fc3-03f3-45d8-9af7-0dfe3ecc0cef
-76.6483300004061,39.3147860000417,18,REISTERSTOWN RD & ELGIN AVE sb,97,82,178,648,"NV,85,LM",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,31,d9000163-98ee-41d2-9246-5540b6f4461e
-76.6471579998959,39.3137820002117,19,REISTERSTOWN RD & WINDSOR AVE sb,7,26,33,2440,LM,E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,32,a7daba93-45f8-4f05-a396-690658199c00
-76.6466979995884,39.3121020001362,20,FULTON AVE & CLIFTON AVE sb,52,19,71,1551,NV,E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,35,554a4434-897a-4569-aed2-229922a32ba7
-76.6465810003108,39.310126000291,21,FULTON AVE & NORTH AVE sb,104,34,138,864,NV,E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,36,929c8418-0fed-4fe3-9e87-b00ddac4f139
-76.6464669996097,39.3081819999481,22,FULTON & PRESBURY sb,26,21,47,2051,NV,E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,37,e7f477cb-8f3a-42c0-a1ed-494d410dd47d
-76.6463939998148,39.3069839996766,23,FULTON AVE & BAKER ST sb,77,48,125,960,NV,E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,38,558fe4ec-250f-43f5-9e98-bee5f8a7ba9e
-76.640060000306,39.2978189996923,24,CALHOUN & LANVALE sb,27,62,88,1317,NV,E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,48,1fcaf029-7d69-4d2e-b37a-095ad70067a1
-76.6399399997571,39.2966859998724,25,CALHOUN & HARLEM sb,1,5,6,3762,"PR,80,80,BL,BL,NV,PR",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,50,b4e1577f-ca8f-4a35-a699-197061ef2c60
-76.6399499998029,39.2943919999472,26,CALHOUN & FRANKLIN sb,5,9,15,3254,NV,E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,51,4a8c7d8d-b738-4abb-bdaa-30a6c081370d
-76.6400000000315,39.2922660002161,27,CALHOUN & SARATOGA sb,89,143,232,480,NV,E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,52,787bed28-755d-4ec2-987d-05ae6ffb50ac
-76.6378860000633,39.2886369998115,28,BALTIMORE ST & CAREY ST wb,151,178,329,284,"PR,78",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,55,6c1258b6-0bc7-40f5-ba31-15dc4ce3b87c
-76.6355479997891,39.2886139997359,29,BALTIMORE ST & ARLINGTON AVE eb,36,57,93,1259,"PR,78",E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,56,204aa4ae-9a66-4f5f-a65b-8cd8cf61d439
-76.6325169995789,39.288755999931,30,BALTIMORE ST & POPPLETON ST eb,206,78,284,357,"PR,78,OR",E1 - Public Domain - Internal Use Only,Bus,Yes,Baltimore City,58,0418c463-9d00-43e1-8226-225a1ef915af
-76.6283630001606,39.2889499999087,31,BALTIMORE ST & MLK BLVD eb,101,73,174,668,"PR,78,OR",E1 - Public Domain - Internal Use Only,Bus,Yes,Baltimore City,59,5afc2db0-6b62-46ec-a913-44167b57ba0c
-76.6224809996651,39.2891989999775,32,BALTIMORE ST & PACA ST eb,336,285,622,90,"RD,78,150,OR,PR",E1 - Public Domain - Internal Use Only,Bus,Yes,Baltimore City,62,afdc7e62-f7aa-42dc-89cd-f0bf9f5ac9ff
-76.6154259997329,39.2894150001578,33,BALTIMORE ST & CHARLES ST eb,1072,906,1978,4,"RD,56,71,78,105,120,150,160,210,215,310,OR,PR",E1 - Public Domain - Internal Use Only,Bus/Commuter Bus,Yes,Baltimore City,66,77a86d7f-2ac6-4ba0-b965-3c40c8c5d512
-76.6138569995627,39.2887169997739,34,LIGHT ST & REDWOOD ST sb,332,211,543,120,"SV,67,71,76,95,103,120,210,215,310,410,411,GR",E1 - Public Domain - Internal Use Only,Bus/Commuter Bus,No,Baltimore City,68,357a65da-9453-4299-9dd8-afd1fc963ce4
-76.6136869996834,39.2867549997788,35,LIGHT ST between LOMBARD ST & PRATT ST mb sb,414,348,762,60,"SV,67,71,95,GR",E1 - Public Domain - Internal Use Only,Bus,Yes,Baltimore City,70,7b163bd5-5371-40ff-85e8-df104aeed143
-76.61477100033,39.2811570000986,36,CHARLES ST & HILL sb,1,4,5,3820,94,E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,74,44881793-8339-4db1-ba8d-5e3bf8bf5b45
-76.6157639998417,39.2790150002255,37,HANOVER & HENRIETTA sb,3,12,14,3263,94,E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,75,2bf6ab8f-7468-4462-8505-ed853d0585d6
-76.6156020003583,39.276831999786,38,HANOVER ST & CROSS ST sb,18,28,46,2072,94,E1 - Public Domain - Internal Use Only,Bus,No,Baltimore City,77,842eb761-4a25-4c83-8759-b6200ece77a2
