STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NUMPOINTS,clean-income-data_Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-data_Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-data_Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-data_Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
"24","510","240300","24510240300",1400000US24510240300,"2403",Census Tract 2403,G5020,S,"200576","0","+39.2758588","-076.6105163",1,"119766","37729","993","100"
"24","510","250101","24510250101",1400000US24510250101,"2501.01",Census Tract 2501.01,G5020,S,"962784","0","+39.2771141","-076.7003721",9,"65956","8413","1618","237"
"24","510","250102","24510250102",1400000US24510250102,"2501.02",Census Tract 2501.02,G5020,S,"737636","0","+39.2773395","-076.6901916",12,"49530","10219","1277","239"
"24","510","250103","24510250103",1400000US24510250103,"2501.03",Census Tract 2501.03,G5020,S,"2587957","0","+39.2687004","-076.6776588",21,"38922","7366","1700","209"
"24","510","250203","24510250203",1400000US24510250203,"2502.03",Census Tract 2502.03,G5020,S,"923337","361546","+39.2451631","-076.6164269",10,"39167","10106","768","91"
"24","510","240400","24510240400",1400000US24510240400,"2404",Census Tract 2404,G5020,S,"1180402","965344","+39.2647359","-076.5991303",6,"155444","33508","1289","189"
"24","510","250204","24510250204",1400000US24510250204,"2502.04",Census Tract 2502.04,G5020,S,"861732","0","+39.2471578","-076.6271723",20,"18904","5833","1600","266"
"24","510","060300","24510060300",1400000US24510060300,"603",Census Tract 603,G5020,S,"187111","0","+39.2942438","-076.5855106",4,"102946","20726","719","94"
"24","510","260800","24510260800",1400000US24510260800,"2608",Census Tract 2608,G5020,S,"311708","0","+39.2901606","-076.5659569",5,"46657","6903","912","153"
"24","510","080800","24510080800",1400000US24510080800,"808",Census Tract 808,G5020,S,"327456","0","+39.3036982","-076.5930531",10,"66000","25877","756","191"
"24","510","260900","24510260900",1400000US24510260900,"2609",Census Tract 2609,G5020,S,"552102","0","+39.2832964","-076.5656399",12,"119386","13781","1922","262"
"24","510","230200","24510230200",1400000US24510230200,"2302",Census Tract 2302,G5020,S,"217596","0","+39.2740126","-076.6134847",10,"126477","18521","795","74"
"24","510","270501","24510270501",1400000US24510270501,"2705.01",Census Tract 2705.01,G5020,S,"2319872","2012","+39.3656275","-076.5361691",8,"77204","12096","1664","232"
"24","510","160200","24510160200",1400000US24510160200,"1602",Census Tract 1602,G5020,S,"374068","0","+39.2987150","-076.6408488",20,"35000","18950","916","187"
"24","510","100100","24510100100",1400000US24510100100,"1001",Census Tract 1001,G5020,S,"453808","0","+39.3032186","-076.6047442",12,"30769","22098","818","100"
"24","510","130300","24510130300",1400000US24510130300,"1303",Census Tract 1303,G5020,S,"359731","0","+39.3123572","-076.6406686",13,"49063","12854","855","90"
"24","510","060100","24510060100",1400000US24510060100,"601",Census Tract 601,G5020,S,"238719","0","+39.2946533","-076.5751514",9,"63417","6478","1143","283"
"24","510","280301","24510280301",1400000US24510280301,"2803.01",Census Tract 2803.01,G5020,S,"3160921","20250","+39.3106632","-076.7022121",20,"55712","5670","2144","238"
"24","510","160100","24510160100",1400000US24510160100,"1601",Census Tract 1601,G5020,S,"382639","0","+39.2980892","-076.6363266",11,"16915","12326","1033","249"
"24","510","130200","24510130200",1400000US24510130200,"1302",Census Tract 1302,G5020,S,"352623","0","+39.3123177","-076.6305781",6,"66795","15628","1201","197"
"24","510","130400","24510130400",1400000US24510130400,"1304",Census Tract 1304,G5020,S,"2599677","203955","+39.3225962","-076.6448717",12,"45192","11691","718","92"
"24","510","130600","24510130600",1400000US24510130600,"1306",Census Tract 1306,G5020,S,"872125","3815","+39.3264635","-076.6304217",13,"101333","18878","1842","222"
"24","510","130700","24510130700",1400000US24510130700,"1307",Census Tract 1307,G5020,S,"1063583","0","+39.3367186","-076.6317033",24,"83789","15039","2635","283"
"24","510","130803","24510130803",1400000US24510130803,"1308.03",Census Tract 1308.03,G5020,S,"693566","0","+39.3402502","-076.6433643",5,"76841","13115","1291","222"
"24","510","130804","24510130804",1400000US24510130804,"1308.04",Census Tract 1308.04,G5020,S,"737978","0","+39.3312836","-076.6384027",6,"70026","10213","891","68"
"24","510","130805","24510130805",1400000US24510130805,"1308.05",Census Tract 1308.05,G5020,S,"1632325","6396","+39.3521339","-076.6522287",7,"61983","8582","594","94"
"24","510","250205","24510250205",1400000US24510250205,"2502.05",Census Tract 2502.05,G5020,S,"2316099","14427","+39.2506457","-076.6403025",31,"38942","14367","1288","112"
"24","510","150100","24510150100",1400000US24510150100,"1501",Census Tract 1501,G5020,S,"369345","0","+39.3061672","-076.6417556",6,"29423","11903","1044","187"
"24","510","090900","24510090900",1400000US24510090900,"909",Census Tract 909,G5020,S,"686864","0","+39.3084221","-076.6035994",13,"34362","17082","894","192"
"24","510","120400","24510120400",1400000US24510120400,"1204",Census Tract 1204,G5020,S,"281025","0","+39.3138354","-076.6123840",4,"51700","24195","764","95"
"24","510","270701","24510270701",1400000US24510270701,"2707.01",Census Tract 2707.01,G5020,S,"399831","0","+39.3699355","-076.5664561",6,"55671","12920","1041","116"
"24","510","080301","24510080301",1400000US24510080301,"803.01",Census Tract 803.01,G5020,S,"268608","0","+39.3057013","-076.5820327",4,"43355","14740","719","141"
"24","510","010200","24510010200",1400000US24510010200,"102",Census Tract 102,G5020,S,"355165","0","+39.2880851","-076.5740101",8,"117243","37708","1331","151"
"24","510","271801","24510271801",1400000US24510271801,"2718.01",Census Tract 2718.01,G5020,S,"557962","0","+39.3477502","-076.6834693",9,"20417","20073","1080","164"
"24","510","150900","24510150900",1400000US24510150900,"1509",Census Tract 1509,G5020,S,"1464150","1171","+39.3142207","-076.6842999",11,"65156","24054","1219","294"
"24","510","080700","24510080700",1400000US24510080700,"807",Census Tract 807,G5020,S,"298756","0","+39.3070324","-076.5932887",8,"50962","15054","336","60"
"24","510","261000","24510261000",1400000US24510261000,"2610",Census Tract 2610,G5020,S,"310026","0","+39.2935829","-076.5708757",11,"88266","17141","849","125"
"24","510","260700","24510260700",1400000US24510260700,"2607",Census Tract 2607,G5020,S,"785731","0","+39.2862814","-076.5586427",5,"68836","53227","981","113"
"24","510","160300","24510160300",1400000US24510160300,"1603",Census Tract 1603,G5020,S,"255075","0","+39.2985728","-076.6444023",5,"21943","15213","593","194"
"24","510","060200","24510060200",1400000US24510060200,"602",Census Tract 602,G5020,S,"257735","0","+39.2944298","-076.5806137",5,"68417","20614","1083","158"
"24","510","200702","24510200702",1400000US24510200702,"2007.02",Census Tract 2007.02,G5020,S,"288171","0","+39.2847467","-076.6755998",6,"49591","18227","507","148"
"24","510","260604","24510260604",1400000US24510260604,"2606.04",Census Tract 2606.04,G5020,S,"503666","0","+39.2786758","-076.5388371",6,"24896","14597","552","133"
"24","510","280402","24510280402",1400000US24510280402,"2804.02",Census Tract 2804.02,G5020,S,"561712","0","+39.2992263","-076.6903724",1,"63188","22777","617","95"
"24","510","010100","24510010100",1400000US24510010100,"101",Census Tract 101,G5020,S,"393198","148387","+39.2786343","-076.5745793",10,"152969","34054","1344","169"
"24","510","010300","24510010300",1400000US24510010300,"103",Census Tract 103,G5020,S,"673883","10498","+39.2883650","-076.5802265",6,"152248","11015","982","178"
"24","510","010400","24510010400",1400000US24510010400,"104",Census Tract 104,G5020,S,"373744","558487","+39.2781675","-076.5795274",15,"132012","24667","1544","191"
"24","510","010500","24510010500",1400000US24510010500,"105",Census Tract 105,G5020,S,"155243","0","+39.2888746","-076.5858889",2,"108011","17081","830","114"
"24","510","020100","24510020100",1400000US24510020100,"201",Census Tract 201,G5020,S,"174536","0","+39.2887712","-076.5887716",8,"108901","9099","861","107"
"24","510","020200","24510020200",1400000US24510020200,"202",Census Tract 202,G5020,S,"197559","0","+39.2886357","-076.5920299",8,"87917","29085","791","98"
"24","510","020300","24510020300",1400000US24510020300,"203",Census Tract 203,G5020,S,"662772","384067","+39.2808610","-076.5940789",10,"107895","20640","2436","297"
"24","510","030100","24510030100",1400000US24510030100,"301",Census Tract 301,G5020,S,"427427","0","+39.2894076","-076.5965752",15,"35798","15718","890","214"
"24","510","160500","24510160500",1400000US24510160500,"1605",Census Tract 1605,G5020,S,"1048118","0","+39.2994113","-076.6555090",17,"39216","15597","1402","268"
"24","510","130806","24510130806",1400000US24510130806,"1308.06",Census Tract 1308.06,G5020,S,"1406474","707","+39.3346113","-076.6503321",18,"106118","6385","706","104"
"24","510","140200","24510140200",1400000US24510140200,"1402",Census Tract 1402,G5020,S,"395229","0","+39.3037530","-076.6321873",7,"38384","7449","1099","427"
