DP05_0001E,DP05_0077PE,GEO_ID
Estimate!!SEX AND AGE!!Total population,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,id
3179,94.3,1400000US13001950100
4766,46.6,1400000US13001950200
5154,62.3,1400000US13001950300
1674,67.2,1400000US13001950400
3667,86.9,1400000US13001950500
2119,55.2,1400000US13003960100
4687,51.8,1400000US13003960200
1433,74,1400000US13003960300
2737,90.6,1400000US13005970100
4424,75.9,1400000US13005970201
4040,59.4,1400000US13005970202
1989,44.9,1400000US13007960100
1143,60.5,1400000US13007960200
6069,52.8,1400000US13009970100
6333,56.9,1400000US13009970200
6050,51.7,1400000US13009970300
4378,46.8,1400000US13009970400
6882,62.4,1400000US13009970500
3358,38.4,1400000US13009970600
2448,35.3,1400000US13009970701
2167,31.6,1400000US13009970702
7426,60.8,1400000US13009970800
5394,85.8,1400000US13011970100
4531,94.8,1400000US13011970200
4778,85,1400000US13011970300
4005,85.8,1400000US13011970400
5583,80.1,1400000US13013180103
1849,72.9,1400000US13013180104
2988,73.1,1400000US13013180105
2687,83,1400000US13013180106
4117,71.8,1400000US13013180107
2788,77.7,1400000US13013180108
3638,46.2,1400000US13013180203
2780,49,1400000US13013180204
4728,59.3,1400000US13013180205
2943,85,1400000US13013180206
2590,83.7,1400000US13013180301
6162,80.8,1400000US13013180302
5862,76.6,1400000US13013180303
6124,81.1,1400000US13013180401
6930,58.9,1400000US13013180402
6771,66.9,1400000US13013180501
4716,72.5,1400000US13013180502
5735,70.1,1400000US13013180503
1487,90.9,1400000US13015960101
10296,90.9,1400000US13015960102
11099,85.4,1400000US13015960200
6452,83.4,1400000US13015960300
10696,62.3,1400000US13015960401
8975,75.9,1400000US13015960402
8371,68.8,1400000US13015960500
8892,69.4,1400000US13015960600
7819,54.5,1400000US13015960700
3873,79.8,1400000US13015960801
3087,80.3,1400000US13015960802
5557,87.7,1400000US13015960803
3081,86.8,1400000US13015960901
7004,84,1400000US13015960902
8230,85.6,1400000US13015961000
2832,87.5,1400000US13017960100
1555,76.3,1400000US13017960200
3348,55,1400000US13017960300
4220,31.5,1400000US13017960400
5078,52.7,1400000US13017960500
1634,70.3,1400000US13019970100
4524,87.3,1400000US13019970200
2654,89.9,1400000US13019970300
3303,75.6,1400000US13019970400
3526,80.9,1400000US13019970500
3511,80.7,1400000US13019970600
1570,2.7,1400000US13021010100
1838,64.3,1400000US13021010200
1140,6.8,1400000US13021010300
1894,4.8,1400000US13021010400
2852,44.7,1400000US13021010500
1392,71.4,1400000US13021010800
4301,36.8,1400000US13021011000
1888,4,1400000US13021011100
1309,2,1400000US13021011500
2472,16.2,1400000US13021011701
4443,5.8,1400000US13021011702
3589,60.3,1400000US13021011800
1979,43.1,1400000US13021011900
4419,72.2,1400000US13021012000
2765,50.4,1400000US13021012101
5230,47.6,1400000US13021012102
2621,35.1,1400000US13021012200
2511,15.7,1400000US13021012300
4634,3.8,1400000US13021012400
2565,4.8,1400000US13021012500
4474,10.9,1400000US13021012600
1753,3.5,1400000US13021012700
3253,4.9,1400000US13021012800
1456,25.4,1400000US13021012900
5008,15.6,1400000US13021013101
4259,8.6,1400000US13021013102
6496,7.1,1400000US13021013201
2038,12.4,1400000US13021013202
4181,25,1400000US13021013302
4823,50.9,1400000US13021013407
4390,72.7,1400000US13021013408
4329,44.7,1400000US13021013409
5791,81,1400000US13021013410
3997,54.2,1400000US13021013411
1652,65.3,1400000US13021013502
2548,44.9,1400000US13021013503
8456,70.2,1400000US13021013504
5345,57.4,1400000US13021013603
5075,63.1,1400000US13021013604
5721,38.9,1400000US13021013605
6097,60.8,1400000US13021013606
3393,39.1,1400000US13021013700
1454,4.8,1400000US13021013800
1799,46.2,1400000US13021013900
4804,84.7,1400000US13023790100
2707,46.8,1400000US13023790200
5296,65.1,1400000US13023790300
7074,93.6,1400000US13025960100
6193,92.8,1400000US13025960200
5489,89.5,1400000US13025960300
1346,76.4,1400000US13027960200
5591,70.4,1400000US13027960300
3576,40.7,1400000US13027960400
2627,29.2,1400000US13027960500
2450,66,1400000US13027960600
5249,81.2,1400000US13029920101
5130,72.2,1400000US13029920102
2259,67.3,1400000US13029920301
5828,54,1400000US13029920303
4232,82.9,1400000US13029920305
14365,76.1,1400000US13029920306
0,-,1400000US13029980000
3704,66,1400000US13031110100
8601,56.9,1400000US13031110200
8511,73.4,1400000US13031110300
3838,30.2,1400000US13031110401
6739,45.6,1400000US13031110403
8938,49,1400000US13031110404
4451,65.9,1400000US13031110500
6190,65,1400000US13031110601
4412,51.1,1400000US13031110602
10438,83.6,1400000US13031110700
2616,52.4,1400000US13031110800
7682,88.7,1400000US13031110900
5865,47.9,1400000US13033950100
2586,80.7,1400000US13033950200
4582,21.6,1400000US13033950400
5099,48.3,1400000US13033950500
2772,51.8,1400000US13033950700
1616,53.3,1400000US13033950900
8485,87.9,1400000US13035150100
7843,53.2,1400000US13035150200
7762,55.1,1400000US13035150300
3228,33.7,1400000US13037950100
3137,31.5,1400000US13037950200
2618,73.7,1400000US13039010100
5252,70.4,1400000US13039010200
7897,69.1,1400000US13039010301
5038,56.1,1400000US13039010302
12602,63.4,1400000US13039010401
5576,85.8,1400000US13039010402
3861,83.7,1400000US13039010403
3158,67.4,1400000US13039010500
6074,68.3,1400000US13039010601
1155,84.1,1400000US13039010602
0,-,1400000US13039990000
4792,56.9,1400000US13043950100
3525,65.8,1400000US13043950200
2495,60.6,1400000US13043950300
5872,46,1400000US13045910101
5172,69.7,1400000US13045910103
10218,66.5,1400000US13045910104
12725,82.6,1400000US13045910200
6751,75.7,1400000US13045910300
3273,92,1400000US13045910400
8778,35.8,1400000US13045910501
3047,29.7,1400000US13045910502
6052,64.8,1400000US13045910600
9664,71.8,1400000US13045910701
8218,87.5,1400000US13045910702
8695,65,1400000US13045910703
4344,87.9,1400000US13045910800
4178,89,1400000US13045910900
6564,74.9,1400000US13045911000
7574,74.5,1400000US13045911100
6058,78.3,1400000US13045911200
6629,93.3,1400000US13047030100
5249,89.2,1400000US13047030201
7045,89.1,1400000US13047030202
8035,92.3,1400000US13047030301
3034,97.5,1400000US13047030303
3439,97.5,1400000US13047030304
7125,94.1,1400000US13047030401
6431,90,1400000US13047030402
6286,87.8,1400000US13047030500
5857,88,1400000US13047030600
7570,87.5,1400000US13047030700
9788,51.6,1400000US13049010100
3252,89.9,1400000US13049010200
