Geography,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
1400000US24510010100,152969,34054,1344,169
1400000US24510010200,117243,37708,1331,151
1400000US24510010300,152248,11015,982,178
1400000US24510010400,132012,24667,1544,191
1400000US24510010500,108011,17081,830,114
1400000US24510020100,108901,9099,861,107
1400000US24510020200,87917,29085,791,98
1400000US24510020300,107895,20640,2436,297
1400000US24510030100,35798,15718,890,214
1400000US24510030200,114630,32983,1404,216
1400000US24510040100,67277,9672,4193,439
1400000US24510040200,40625,20754,406,82
1400000US24510060100,63417,6478,1143,283
1400000US24510060200,68417,20614,1083,158
1400000US24510060300,102946,20726,719,94
1400000US24510060400,44735,16711,880,131
1400000US24510070100,54506,11426,713,147
1400000US24510070200,36818,8356,992,142
1400000US24510070300,48083,25313,371,98
1400000US24510070400,25000,11091,764,125
1400000US24510080101,72694,18042,1393,194
1400000US24510080102,30440,10664,663,127
1400000US24510080200,48631,7101,348,57
1400000US24510080301,43355,14740,719,141
1400000US24510080302,45727,14330,902,130
1400000US24510080400,36029,20897,456,110
1400000US24510080500,25529,19043,527,115
1400000US24510080600,37596,11062,591,89
1400000US24510080700,50962,15054,336,60
1400000US24510080800,66000,25877,756,191
1400000US24510090100,59701,7650,1639,221
1400000US24510090200,91083,13542,1338,194
1400000US24510090300,63371,18894,2075,394
1400000US24510090400,36680,15765,617,140
1400000US24510090500,55500,9981,570,92
1400000US24510090600,58897,16910,833,169
1400000US24510090700,36859,14780,960,166
1400000US24510090800,29574,10822,855,170
1400000US24510090900,34362,17082,894,192
1400000US24510100100,30769,22098,818,100
1400000US24510100200,22529,4945,1048,192
1400000US24510100300,-,**,0,13
1400000US24510110100,61103,9673,1924,263
1400000US24510110200,70919,6597,4113,484
1400000US24510120100,94236,33381,2442,364
1400000US24510120201,102083,31024,875,124
1400000US24510120202,28352,8683,1592,218
1400000US24510120300,70776,21995,1542,146
1400000US24510120400,51700,24195,764,95
1400000US24510120500,56776,10263,1230,196
1400000US24510120600,30887,7605,1600,202
1400000US24510120700,68929,2395,1006,130
1400000US24510130100,30048,6324,1732,288
